FoodId,FoodDescription
496,"Chickpea, dried, boiled, drained"
497,"Chicory, boiled, drained"
498,"Chicory, raw"
499,"Chilli (chili), dried, ground"
500,"Chilli (chili), green, fried, no added fat"
501,"Chilli (chili), green, raw"
502,"Chilli (chili), red, fried, no added fat"
503,"Chilli (chili), red, raw"
504,"Chives, raw"
505,"Chocolate, compound, cooking"
506,"Chocolate, dark, high cocoa solids"
507,"Chocolate, dark, no added sugar"
508,"Chocolate, milk"
510,"Chocolate, milk, fondant or caramel filled"
511,"Chocolate, milk, with dried fruit & nuts"
512,"Chocolate, milk, with nuts"
513,"Chocolate, white"
514,"Choko, peeled, fresh, boiled, drained"
515,"Choko, peeled, fresh, raw"
516,"Chutney or relish, commercial"
517,"Cider, apple (alcohol approximately 4-5% v/v)"
518,"Cinnamon, dried, ground"
519,"Cloves, dried, ground"
520,Cocoa powder
521,"Coconut beverage, added Ca"
522,"Coconut beverage, unfortified"
523,"Coconut, cream, regular fat"
524,"Coconut, fresh, mature fruit, flesh"
525,"Coconut, fresh, mature, water or juice"
526,"Coconut, fresh, young or immature, flesh"
527,"Coconut, fresh, young or immature, water or juice"
528,"Coconut, grated & desiccated"
529,"Coconut, milk, canned, reduced fat"
530,"Coconut, milk, canned, regular fat"
531,"Cod or hake, smoked, steamed"
532,"Cod, smoked, raw"
533,"Coffee mix, with beverage whitener & sugar, dry powder"
534,"Coffee, black, from instant coffee powder"
535,"Coffee, black, from instant coffee powder, decaffeinated"
536,"Coffee, espresso, from ground coffee beans"
537,"Coffee, flat white/latte/cappuccino, from ground coffee beans, with regular fat cows milk"
538,"Coffee, instant, dry powder or granules"
539,"Coffee, instant, dry powder or granules, decaffeinated"
540,"Coffee, long black, from ground coffee beans"
541,"Coffee, prepared from coffee mix with sugar & whitener, no added milk"
542,"Cone, wafer style, for ice cream"
543,"Confectionery, almond, chocolate-coated"
544,"Confectionery, chocolate centre, sugar-coated"
545,"Confectionery, dried fruit & nuts, chocolate-coated"
546,"Confectionery, peanut, chocolate-coated"
547,"Confectionery, sultana, chocolate-coated"
548,"Cordial base, 25% citrus fruit juice, regular"
549,"Cordial base, 40% citrus fruit juice, regular"
551,"Cordial base, blackcurrant juice, regular"
552,"Cordial, 25% citrus fruit juice, regular, recommended dilution"
553,"Cordial, 40% citrus fruit juice, regular, recommended dilution"
554,"Cordial, blackcurrant juice, regular, recommended dilution"
555,"Coriander seed, dried, ground"
556,"Coriander, fresh, raw"
557,"Corn chips, plain, toasted, salted"
558,"Corn, fresh on cob, boiled, drained"
559,"Corn, fresh on cob, raw"
560,"Corn, kernels, canned in brine, drained"
561,"Corn, kernels, purchased frozen, boiled, drained"
562,"Corn, kernels, purchased frozen, raw"
564,"Cornmeal (polenta), boiled, no added fat or salt"
565,"Cornmeal (polenta), uncooked"
566,"Couscous, boiled, no added fat or salt"
567,"Couscous, uncooked"
568,"Crab, flesh, purchased steamed or boiled"
569,"Cranberry, dried, sweetened"
570,"Cranberry, raw"
571,"Cream of tartar, dry powder"
572,"Cream, imitation (non-dairy)"
573,"Cream, sour, light (approximately 18% fat)"
574,"Cream, sour, regular fat"
575,"Cream, thickened, regular fat (approximately 35%)"
577,"Crocodile, back leg, raw"
578,"Crocodile, steak, as purchased, fried, no added fat"
